model,context_length,topk_context_length,n_tests,answer_accuracy,evidence_accuracy,combined_accuracy
claude-sonnet-4-20250514,200000,50K,8,0.875,0.875,0.875
claude-sonnet-4-20250514,400000,70K,8,0.875,0.875,0.875
claude-sonnet-4-20250514,500000,90K,8,0.5,0.5,0.5
claude-sonnet-4-20250514,600000,100K,8,0.75,0.75,0.75
claude-sonnet-4-20250514,1000000,200K,8,0.875,0.875,0.875
claude-sonnet-4-5-20250929,200000,50K,8,1.0,1.0,1.0
claude-sonnet-4-5-20250929,400000,70K,8,0.875,0.875,0.875
claude-sonnet-4-5-20250929,500000,90K,8,0.75,0.75,0.75
claude-sonnet-4-5-20250929,600000,100K,8,0.75,0.75,0.75
claude-sonnet-4-5-20250929,1000000,200K,8,0.75,0.625,0.625
gpt-4.1,200000,50K,8,0.75,0.75,0.75
gpt-4.1,400000,70K,8,0.75,0.75,0.75
gpt-4.1,500000,90K,8,0.625,0.625,0.625
gpt-4.1,600000,100K,8,0.875,0.875,0.875
gpt-4.1,1000000,200K,8,0.75,0.75,0.75
gpt-4o,200000,50K,8,1.0,1.0,1.0
gpt-4o,400000,70K,8,1.0,1.0,1.0
gpt-4o,500000,90K,8,0.625,0.625,0.625
gpt-4o,600000,100K,8,1.0,1.0,1.0
gpt-4o,1000000,200K,8,0.625,0.625,0.625
gpt-5-2025-08-07,200000,50K,8,1.0,1.0,1.0
gpt-5-2025-08-07,400000,70K,8,1.0,1.0,1.0
gpt-5-2025-08-07,500000,90K,8,1.0,1.0,1.0
gpt-5-2025-08-07,600000,100K,8,1.0,1.0,1.0
gpt-5-2025-08-07,1000000,200K,8,1.0,1.0,1.0
o3-mini-2025-01-31,200000,50K,8,0.625,0.625,0.625
o3-mini-2025-01-31,400000,70K,8,0.625,0.625,0.625
o3-mini-2025-01-31,500000,90K,8,0.625,0.625,0.625
o3-mini-2025-01-31,600000,100K,8,0.625,0.625,0.625
o3-mini-2025-01-31,1000000,200K,8,0.75,0.75,0.75
