model,context_length,ans_accuracy,n_samples
GPT-4.1,50000,100.0,32
GPT-4.1,70000,100.0,32
GPT-4.1,90000,96.88,32
GPT-4.1,100000,96.88,32
GPT-4.1,200000,100.0,32
GPT-4o,50000,68.75,32
GPT-4o,70000,78.12,32
GPT-4o,90000,87.5,32
GPT-4o,100000,71.88,32
GPT-4o,200000,53.12,32
GPT-5,50000,96.88,32
GPT-5,70000,100.0,32
GPT-5,90000,96.77,31
GPT-5,100000,93.55,31
GPT-5,200000,100.0,32
O3-mini,50000,75.0,32
O3-mini,70000,50.0,32
O3-mini,90000,62.5,32
O3-mini,100000,62.5,32
O3-mini,200000,65.62,32
Sonnet-4,50000,90.62,32
Sonnet-4,70000,90.62,32
Sonnet-4,90000,81.25,32
Sonnet-4,100000,90.62,32
Sonnet-4,200000,81.25,32
Sonnet-4.5,50000,100.0,32
Sonnet-4.5,70000,100.0,32
Sonnet-4.5,90000,100.0,32
Sonnet-4.5,100000,90.62,32
Sonnet-4.5,200000,81.25,32
